52;{2381362E-D562-4DE7-B1A7-8A52BC22A108};r/s;об/с;revolution per second;оборот в секунду;Частота вращения
53;{2381362E-D562-4DE7-B1A7-8A52BC22A108};r/min;об/мин;revolution per minute;оборот в минуту;Частота вращения
54;{48554A6C-F20D-4925-A963-BEA7FB39E7EC};Da;а.е.м.;dalton;дальтон;Атомная единица массы
55;{D6A66526-B4AD-427A-B994-F005A71194DF};M;миля;nautical mile;морская миля;Скорость
56;{D6A66526-B4AD-427A-B994-F005A71194DF};kn;уз;knot;узел;Скорость
57;{FB290DA0-E8BA-4269-80A6-928FD767F567};a;а;are;ар;Площадь
58;{9D26DFBE-C712-425A-A04F-5B5667B27211};bar;бар;bar;бар;Давление
59;{9D26DFBE-C712-425A-A04F-5B5667B27211};at;ат;atmosphere;атмосфера тех.;Давление
60;{9D26DFBE-C712-425A-A04F-5B5667B27211};mm Hg;мм рт.ст.;Millimeter of mercury column;Миллиметр ртутного столба;Давление
61;{C25A3F07-8F90-4C4E-9755-FE54A0CC2C6A};g/сm^3;г/см^3;grams per cubic centimeter;грамм на кубический сантиметр;Плотность
62;{C25A3F07-8F90-4C4E-9755-FE54A0CC2C6A};g/dm^3;г/дм^3;grams per cubic decimeter;грамм на кубический дециметр;Плотность
63;{D6A66526-B4AD-427A-B994-F005A71194DF};m/h;м/ч;meter per hour;метр в час;Скорость
64;{B7E46D21-98EB-4FDA-BFE3-6630C5140355};Np;Нп;neper;непер;Относительная единица
65;{B7E46D21-98EB-4FDA-BFE3-6630C5140355};B;Б;bel;бел;Относительная единица
66;{028277C4-116A-4355-9B6C-BDF50755E6DE};%;%;percent;процент;Процент
67;{E2C4DE72-1636-403A-A78D-5FBC11148D2A};u;ед;unit;единица;Счет
